place_origin,place_dest,route_prob_fix_origin,haversine_miles
Naples,Rome,0.418341709,117.098718
Rome,Venice,0.075124026,245.0927118
Venice,Ireland,0.001558846,993.857556
Gravesend,Genoa,0.25,626.4201341
Genoa,Leghorn,0.211453744,90.74320246
Leghorn,Rome,0.084745763,158.7306667
Rome,Naples,0.417788802,117.098718
Naples,Pistoia,0.00041876,273.1912175
Pistoia,Bologna,0.411764706,44.82884674
Bologna,Parma,0.056,54.0368056
Parma,Cremona,0.011111111,27.35665332
Cremona,Turin,0.035714286,113.3745841
Turin,London,0.022288262,571.685453
Naples,Messina,0.000837521,196.1746343
Venice,Padua,0.155884645,21.46928948
Padua,Naples,0.030487805,337.4359478
Naples,Rome,0.418341709,117.098718
Florence,Pisa,0.050295858,42.68334025
Pisa,Rome,0.08259587,163.8413134
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Venice,0.075124026,245.0927118
Venice,Lausanne,0.004676539,282.9941926
Lausanne,Naples,0.380952381,546.3160598
Turin,Bologna,0.023774146,182.9154275
Bologna,Rome,0.0832,189.3399604
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Venice,0.075124026,245.0927118
Venice,Padua,0.155884645,21.46928948
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
England,Padua,0.00591716,691.6327773
Padua,Venice,0.333333333,21.46928948
Venice,Naples,0.042868277,332.3094268
Naples,Rome,0.418341709,117.098718
Rome,Genoa,0.004252303,249.3191871
Genoa,Turin,0.147577093,75.7939505
Turin,Marseilles,0.002971768,167.9591122
Spa,Padua,0.0625,447.9302587
Padua,Rome,0.093495935,244.6378659
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
London,Turin,0.121827411,571.685453
Turin,Genoa,0.172362556,75.7939505
Genoa,Milan,0.112334802,74.15259254
Milan,Bologna,0.072033898,124.6593622
Bologna,Florence,0.2928,50.87901401
Florence,Pisa,0.050295858,42.68334025
Pisa,Leghorn,0.244837758,11.78537984
Leghorn,Siena,0.078389831,53.37161827
Siena,Rome,0.490421456,114.5740732
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Venice,0.075124026,245.0927118
Venice,London,0.011691348,706.1950949
Naples,Brindisi,0.00041876,193.6861147
